# Ref.height (where the gravity value is reduced, eg level of the BM height)
0.0
# Fixed values (absolute gravity value, its st.dev and obs.height. Can be more than 1 value)
981678514.0  3.9  1.200
# Gravity obs along the vertical (grav.diff, comb. st.dev, heights h1 and h2)
-328.60	1.25	0.1540	1.2890	2008-07-27	MBK	CG5-10052
-304.20	0.79	0.1420	1.1920	2008-07-25	TO	CG5-36
-304.60	0.73	0.1450	1.1950	2008-07-25	TO	CG5-10092
-218.90	1.03	0.1410	0.8890	2008-08-27	TO	CG5-36
!-334.70	0.61	0.1410	1.2910	2008-08-27	TO	CG5-36
-217.30	1.22	0.1430	0.8910	2008-08-27	TO	CG5-10092
-332.00	0.66	0.1420	1.2930	2008-08-27	TO	CG5-10092
!-174.80	1.25	0.1635	0.7730	2017-07-14	TO	CG5-36
-320.30	0.68	0.1635	1.2780	2017-07-14	TO	CG5-36
-176.60	1.16	0.1670	0.7765	2017-07-14	TO	CG5-10092
-319.00	0.63	0.1670	1.2820	2017-07-14	TO	CG5-10092
-187.80	1.40	0.1587	0.8068	2019-05-21	TO	CG5-36
-312.00	0.84	0.1587	1.2411	2019-05-21	TO	CG5-36
