FILE                   : ETCPOT
STATUS                 : 930710
CONTENTS OF THE FILE   : TIDAL POTENTIAL DEVELOPMENTS FROM DOODSON 1921,
                         CARTWRIGHT-TAYLER-EDDEN 1973, TAMURA 1987,
                         BUELLESFELD 1985.

REFERENCE              : WENZEL,H.-G. 1976: ZUR GENAUIGKEIT VON GRAVIMETRISCHEN
                         ERDEGEZEITENBEOBACHTUNGEN. WISSENSCHAFTLICHE ARBEITEN
                         DER LEHRSTUEHLE FUER GEODAESIE, PHOTOGRAMMETRIE UND
                         KARTOGRAPHIE AN DER TECHNISCHEN UNIVERSITAET HANNOVER
                         NR. 67, VI...XV, HANNOVER 1976.

                         DOODSON, A.T. 1921: THE HARMONIC DEVELOPMENT OF THE
                         TIDE GENERATING POTENTIAL. PROCEEDINGS OF THE ROYAL
                         SOCIETY, SERIES A100, 306-328, LONDON 1921. REPRINT
                         IN INTERNATIONAL HYDROGRAPHIC REVUE VOL.31 NO.1,
                         MONACO 1954.

                         CARTWRIGHT, D.E. AND R.J. TAYLER 1971: NEW COMPUTA-
                         TIONS OF TIDE GENERATING POTENTIAL. THE GEOPHYSICAL
                         JOURNAL, VOL. 23 NO. 1, OXFORD 1971.

                         CARTWRIGHT, D.E. AND A.C. EDDEN 1973: CORRECTED TABLES
                         OF TIDAL HARMONICS. THE GEOPHYSICAL JOURNAL, VOL. 33,
                         NO. 3, OXFORD 1973.

                         CHOJNICKI, T. 1973: EIN VERFAHREN ZUR ERDGEZEITENANA-
                         LYSE IN ANLEHNUNG AN DAS PRINZIP DER KLEINSTEN QUA-
                         DRATE. MITTEILUNGEN AUS DEM INSTITUT FUER THEORETISCHE
                         GEODAESIE DER UNIVERSITAET BONN NR. 15, BONN 1973.

                         TAMURA, Y. 1987: A HARMONIC DEVELOPMENT OF THE TIDE
                         GENERATING POTENTIAL. BULLETIN D'INFORMATIONS
                         MAREES TERRESTRES NO. 99, BRUXELLES 1987.

                         BUELLESFELD, F.-J. 1985: EIN BEITRAG ZUR HARMONISCHEN
                         DARSTELLUNG DES GEZEITENERZEUGENDEN POTENTIALS.
                         DEUTSCHE GEODAETISCHE KOMMISSION, REIHE C,
                         HEFT NR. 314, MUENCHEN 1985.

WAVE  000 DO 2 173.765  1 2-2 2 1 0 2 .00000 .00000 .00000      .00089
OF THE DOODSON TIDAL POTENTIAL DEVELOPMENT HAS NOT BEEN USED BECAUSE IT
IS OBVIOUSLY WRONG.

DESCRIPTION OF THE FILE CONTENTS:

COLUMN   1... 4: WAVE NUMBER OF TAMURA 1987 TIDAL POTENTIAL DEVELOPMENT.
COLUMN   5... 8: WAVE NUMBER OF CARTWRIGHT-TAYLER-EDDEN 1973 TIDAL POTENTIAL
                 DEVELOPMENT.
COLUMN   9...10: DEGREE OF THE POTENTIAL.
COLUMN  11...12: ORDER  OF THE POTENTIAL (= ARGUMENT NO. 1).
COLUMN  13...14: ARGUMENT NO. 2.
COLUMN  15...16: ARGUMENT NO. 3.
COLUMN  17...18: ARGUMENT NO. 4.
COLUMN  19...20: ARGUMENT NO. 5.
COLUMN  21...22: ARGUMENT NO. 6.
COLUMN  23...24: ARGUMENT NO. 7 (ONLY VALID FOR TAMURA 1987 POTENTIAL)
COLUMN  25...26: ARGUMENT NO. 8 (ONLY VALID FOR TAMURA 1987 POTENTIAL)
COLUMN  27...28: PHASE NUMBER NP, NP*PI/2 IS BE ADDED TO PHASE.
COLUMN  29...35: CARTWRIGHT-TAYLER-EDDEN POTENTIAL AMPLITUDE FOR EPOCH 1870.
COLUMN  36...49: CARTWRIGHT-TAYLER-EDDEN POTENTIAL AMPLITUDE FOR EPOCH 1960.
COLUMN  43...49: CARTWRIGHT-TAYLER-EDDEN POTENTIAL AMPLITUDE FOR EPOCH 1960.
COLUMN  50...54: DARWIN NAME OF THE WAVE.
COLUMN  55...61: DOODSON POTENTIAL AMPLITUDE REFERRING TO EPOCH 1900.
COLUMN  62...69: TAMURA  POTENTIAL AMPLITUDE REFERRING TO EPOCH 2000.
COLUMN  70...78: TAMURA  TIME DERIVATIVE OF AMPLITUDE PER JULIAN CENTURY.
COLUMN  79...86: BUELLESFELD POTENTIAL AMPLITUDE.

                              CARTWRIGHT-TAYLER-EDDEN  DOODSON TAMURA  TAMURA  BUELLES
C*************************************************************************************
1200
   1    1   1 2 0 0 0 0 0 0 0 0 0 .73798 .73812 .73819 M0S0 .73869 .738300  .000241 .738260
   2    2   0 4 0 0 0 0 0 0 0 0 0 .00000 .00000 .00000      .00000 .000043  .000000 .000045
   3    3   2 2 0 0 0 0 1 0 0 0 2 .06557 .06557 .06555      .06552 .065547 -.000027 .065540
   4    4   0 4 0 0 0 0 1 0 0 0 2 .00000 .00000 .00000      .00000 .000033  .000000 .000035
   5    5   0 3 0 0 0 1-1 0 0 0 1 .00000 .00000 .00000      .00000 .000013  .000000 .000012
   6    6   3 2 0 0 0 0 2 0 0 0 0 .00063 .00066 .00066      .00064 .000642 -.000001 .000640
   7    7   4 3 0 0 0 1 0 0 0 0-1 .00025 .00025 .00026      .00026 .000254  .000000 .000253
   8    8   0 3 0 0 0 1 1 0 0 0-1 .00000 .00000 .00000      .00000 .000041  .000000 .000039
   9    9   5 2 0 0 0 2 1 0 0 0 2 .00009 .00009 .00009      .00000 .000089  .000000 .000100
  10   10   0 2 0 0 0 2 2 0 0 0 2 .00000 .00000 .00000      .00000 .000034  .000000 .000000
  11   11   0 2 0 0 1-1 0 0 0 0 2 .00000 .00000 .00000      .00000 .000020  .000000 .000000
  12   12   0 2 0 0 0 0 0 0 1 0 0 .00000 .00000 .00000      .00000 .000011  .000000 .000000
  13   13   6 2 0 0 1 0-1-1 0 0 0 .00009 .00009 .00009      .00000 .000098  .000000 .000100
  14   14   7 2 0 0 1 0 0-1 0 0 0 .01157 .01157 .01155 SA   .01160 .011549 -.000024 .011560
  15   15   0 3 0 0 1 0 0 0 0 0-1 .00000 .00000 .00000      .00000 .000004  .000000 .000000
  16   16   8 2 0 0 1 0 0 1 0 0 2 .00063 .00061 .00061      .00061 .000609  .000000 .000600
  17   17   9 2 0 0 1 0 1-1 0 0 2 .00012 .00012 .00012      .00000 .000073  .000000 .000100
  18   18   0 2 0 0 1 0 1 1 0 0 0 .00000 .00000 .00000      .00000 .000036  .000000 .000000
  19   19   0 2 0 0 0 0 0 0 0 2 2 .00000 .00000 .00000      .00000 .000011  .000000 .000000
  20   20  10 2 0 0 2-2-1 0 0 0 2 .00005 .00005 .00005      .00000 .000048  .000000 .000050
  21   21  11 2 0 0 2-2 0 0 0 0 0 .00073 .00073 .00075      .00073 .000732  .000001 .000730
  22   22   0 2 0 0 2-2 1 0 0 0 2 .00000 .00000 .00000      .00000 .000073  .000000 .000060
  23   23  12 3 0 0 2-1 0 0 0 0-1 .00005 .00005 .00005      .00000 .000047  .000000 .000048
  24   24   0 3 0 0 2-1 1 0 0 0-1 .00000 .00000 .00000      .00000 .000007  .000000 .000000
  25   25  13 2 0 0 2 0 0-2 0 0 0 .00030 .00030 .00028      .00030 .000288  .000000 .000270
  26   26  14 2 0 0 2 0 0 0 0 0 0 .07284 .07280 .07275 SSA  .07299 .072732 -.000081 .072730
  27   27  15 2 0 0 2 0 1 0 0 0 2 .00181 .00181 .00181      .00181 .001799  .000003 .001820
  28   28  16 2 0 0 2 0 2 0 0 0 2 .00040 .00040 .00040      .00040 .000400  .000000 .000400
  29   29   0 2 0 0 2 0 3 0 0 0 0 .00000 .00000 .00000      .00000 .000012  .000000 .000000
  30   30   0 2 0 0 3-2 0-1 0 0 0 .00000 .00000 .00000      .00000 .000025  .000000 .000000
  31   31  17 2 0 0 3 0 0-1 0 0 0 .00427 .00425 .00425 STA  .00427 .004246 -.000014 .004240
  32   32  18 2 0 0 3 0 1-1 0 0 2 .00007 .00007 .00007      .00000 .000074  .000000 .000080
  33   33   0 2 0 0 3 0 2-1 0 0 2 .00000 .00000 .00000      .00000 .000018  .000000 .000000
  34   34  19 2 0 0 4 0 0-2 0 0 0 .00016 .00016 .00016      .00017 .000173  .000000 .000170
  35   35   0 2 0 1-4 1-1 0 0 0 2 .00000 .00000 .00000      .00000 .000028  .000000 .000000
  36   36   0 2 0 1-4 1 0 2 0 0 0 .00000 .00000 .00000      .00000 .000021  .000000 .000000
  37   37   0 2 0 1-4 3 0 0 0 0 0 .00000 .00000 .00000      .00000 .000014  .000000 .000000
  38   38  20 2 0 1-3 1-1 1 0 0 2 .00005 .00005 .00005      .00000 .000051  .000000 .000040
  39   39  21 2 0 1-3 1 0 1 0 0 0 .00068 .00068 .00068      .00068 .000675  .000000 .000680
  40   40   0 2 0 1-3 1 1 1 0 0 2 .00000 .00000 .00000      .00000 .000042  .000000 .000050
  41   41  22 2 0 1-2-1-2 0 0 0 2 .00005 .00005 .00005      .00000 .000056  .000000 .000060
